gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mefv	4.156739620724922	2.045764241937287	17.725058884671373	3.063521120146496e-08	0.00020419154178084534	8.825287660861672
Tes	3.00285335265382	4.052550351335046	17.49592001141594	3.429004049510322e-08	0.00020419154178084534	9.396509257908495
Ccr1	4.034521453373525	5.194757360106639	16.713682557513227	5.0929343283730453e-08	0.00020419154178084534	9.108076591674127
Hmox1	4.229429450037085	5.640579427374823	15.999022618174488	7.425003475316821e-08	0.00020419154178084534	8.76075537996936
AA467197	6.145267336777217	2.653001078706348	15.528123578561154	9.60238238060352e-08	0.00020419154178084534	8.24190114943487
Clec4d	4.0615453140834745	3.82938039567797	15.472388660827635	9.903914443349167e-08	0.00020419154178084534	8.447582663762287
Gcnt1	2.7122455662641896	4.4217701243585426	15.423654884209963	1.0176188418217333e-07	0.00020419154178084534	8.466372147583607
S100a11	2.4511472960340535	4.658317580295185	15.060399757532977	1.2487917707378318e-07	0.00020419154178084534	8.288349393398859
Cd44	3.0774076848688203	6.161377818848248	14.824477988457376	1.4299062326828431e-07	0.00020419154178084534	8.140185397407548
B430306N03Rik	3.346156102729071	2.051120580651026	14.797432158157338	1.4524656815934092e-07	0.00020419154178084534	7.692270706819757
Eif1a	2.529251227607843	5.99875154317369	14.565485414814132	1.662980766537194e-07	0.00020419154178084534	8.010617122488508
Slc7a11	4.77058346728911	2.759548363301101	14.499184744069485	1.7292155972972082e-07	0.00020419154178084534	7.784234627312223
Rai14	2.644804655211493	4.401670157326016	14.181228871785596	2.090278099283904e-07	0.00022784031282194553	7.8034389022275965
Il1rap	2.652096639668022	4.459943603325574	13.767614423940266	2.691067662192786e-07	0.0002723744912376555	7.568656917327068
Alcam	2.9319380461506284	3.4567890740191416	13.557478936967513	3.0678506133752546e-07	0.00028980962127684906	7.391221622873504
Adam8	4.732046163903967	4.36645677047651	13.137487060809931	4.009037397748791e-07	0.0003408014118986706	7.18927894530004
Atp8b4	3.2912224509544634	3.8058888598433582	12.999824034970207	4.383973611746802e-07	0.0003408014118986706	7.085170926179952
Vcan	2.392682090087474	7.417682142977848	12.98280668007064	4.4329581547622513e-07	0.0003408014118986706	7.0041837629921275
Pdpn	2.8564438267853722	4.4913011141983015	12.86329095843002	4.794554040578738e-07	0.0003408014118986706	7.0208214272934235
Mthfd1l	3.5600943536554737	2.7673632853800907	12.856627335560328	4.815655209385734e-07	0.0003408014118986706	6.895938012690608
Ttc9	3.168963211623713	2.201706518541838	12.784518778551655	5.050691354885026e-07	0.0003408014118986706	6.733006001286177
Gpr35	3.0875342063960867	3.4638975826477783	12.533082545611656	5.975177131655279e-07	0.0003834427648826873	6.775293820560066
Chst11	2.8419632828862444	3.6042991669799624	12.414579045391404	6.474647063958195e-07	0.0003834427648826873	6.707905933072803
Plin2	2.3867423588769956	7.41856151571568	12.38129206671428	6.623134301710264e-07	0.0003834427648826873	6.639293121193099
Inhba	3.968871523937423	3.4813436876166497	12.269923599516416	7.147999133086152e-07	0.0003834427648826873	6.608093110847837
Mmp19	1.9417009526689308	4.187042726921343	12.192531371777566	7.539811553723123e-07	0.0003834427648826873	6.580528406333956
Csf3r	2.4931306117248595	4.548353906087119	12.135111639221293	7.845868420321613e-07	0.0003834427648826873	6.5460242311668555
Pgm2	1.8839896676401615	3.6558704649861675	12.134820933466134	7.847452492306233e-07	0.0003834427648826873	6.527976497633238
Slc15a3	2.9268749664742337	3.215997796513609	11.897185281761626	9.269047324008386e-07	0.00042889576810838624	6.347353469243446
Basp1	4.016080337608762	3.158640957888418	11.827654731606788	9.737234661643052e-07	0.00042889576810838624	6.2971784872515055
Psd4	2.4109782286136356	3.3234798298298887	11.79186227847166	9.98839826928493e-07	0.00042889576810838624	6.283621433594495
Sla	2.6384247790473006	4.116077838252696	11.736233287330647	1.0393104109306834e-06	0.0004331478977319936	6.268746423887816
Mcoln2	3.8269960305365216	1.1080594886137913	11.533297956287528	1.203079265534452e-06	0.0004495690587223472	5.67813033514718
Ubash3b	2.3795255786026295	3.475845200081907	11.511019763206535	1.2227311695059798e-06	0.0004495690587223472	6.097972132948394
Slfn2	2.6368167277858845	5.584521404727489	11.473975145978942	1.2561993940597858e-06	0.0004495690587223472	6.08590163336444
Ccl6	2.8287572732995807	6.698370280705877	11.43041355551651	1.2968576162215574e-06	0.0004495690587223472	6.0453329484408265
Tpd52	2.0587889105429262	5.897271940020402	11.426270508723139	1.3007996759079912e-06	0.0004495690587223472	6.051190443630539
Tubb6	2.220696619494147	6.177929543187746	11.256443876132616	1.474375719764386e-06	0.0004961809129933398	5.9273495149182605
Nop58	2.2969542695094756	5.683746570361654	11.221334813111332	1.5133672319612465e-06	0.0004961809129933398	5.902175387461878
Trem1	4.670566313247685	2.8884444091977404	11.120171986864364	1.632238743087242e-06	0.0004961809129933398	5.793013890478388
Kcne4	2.2860353506996804	3.9123702762255403	11.113970670418858	1.6398543664759629e-06	0.0004961809129933398	5.822187241805004
Rbm3	3.3592070144963486	6.701373318918476	11.08409036310472	1.6771041174404779e-06	0.0004961809129933398	5.796723170471223
Emp1	2.2246575107466633	6.468641887243329	11.07397779137914	1.689921816068207e-06	0.0004961809129933398	5.792062040338699
Ereg	4.24298019170927	2.2970776666048773	10.953072311612509	1.8518530450718426e-06	0.0004961809129933398	5.612892942039476
Sprr1a	5.347391699925781	1.4474463819439207	10.950003768367823	1.8561800384305684e-06	0.0004961809129933398	5.434542425732319
